year,month,Region,Electric Vehicle (EV) Total
2022,9,"Riverside, CA",7
2022,12,"Prince William, VA",3
2020,1,"Dakota, MN",1
2022,6,"Ferry, WA",0
2021,7,"Douglas, CO",1
2018,5,"Maui, HI",1
2017,11,"Northampton, PA",1
2018,3,"Nassau, NY",1
2020,3,"DeKalb, IN",1
2019,1,"Columbia, WA",0
2017,2,"Maui, HI",1
2017,9,"Orleans, LA",1
2018,12,"Ramsey, MN",1
2020,11,"Manassas, VA",1
2020,2,"Montgomery, AL",1
2019,8,"Albemarle, VA",1
2020,5,"Monroe, IL",1
2021,12,"San Diego, CA",23
2021,6,"Skamania, WA",0
2017,1,"Douglas, WA",0
2022,10,"Washington, OR",1
2022,12,"Sarpy, NE",1
2020,2,"Owyhee, ID",1
2022,6,"Clinton, PA",1
2022,5,"Yakima, WA",0
2017,10,"Virginia Beach, VA",3
2020,5,"Sedgwick, KS",2
2021,9,"Kittitas, WA",0
2021,4,"Asotin, WA",33
2021,6,"San Francisco, CA",1
2017,6,"Charles, MD",1
2022,6,"Richmond, NY",1
2022,1,"Carson City, NV",1
2020,7,"Santa Clara, CA",11
2021,6,"Harris, TX",2
2021,11,"King, WA",7
2021,4,"Suffolk, VA",1
2022,2,"Clallam, WA",1
2019,6,"Clay, FL",1
2019,3,"El Paso, TX",2
2019,7,"Montgomery, MD",1
2023,8,"Harford, MD",2
2020,10,"Franklin, WA",151
2022,5,"Burlington, NJ",2
2022,5,"Kings, NY",1
2023,6,"Washtenaw, MI",2
2020,4,"Manassas, VA",1
2021,12,"Whatcom, WA",2316
2023,9,"Whitman, WA",263
2021,3,"Stevens, WA",81
2019,4,"Douglas, WA",89
2018,1,"Benton, WA",354
2020,5,"Kern, CA",1
2021,10,"Kittitas, WA",0
2021,12,"Grant, WA",0
2020,6,"Nueces, TX",1
2023,9,"Kings, CA",4
2017,4,"Jackson, MO",1
2023,4,"Polk, OR",2
2019,8,"Powhatan, VA",1
2019,2,"Anne Arundel, MD",1
2022,3,"Pacific, WA",129
2019,2,"San Mateo, CA",3
2021,4,"Ventura, CA",3
2021,1,"Klamath, OR",1
2018,6,"Hamilton, IN",1
2023,3,"Meade, KY",1
2024,1,"Placer, CA",1
2020,9,"Larimer, CO",1
2017,3,"Clallam, WA",142
2023,12,"Clallam, WA",29
2017,12,"Kittitas, WA",0
2019,11,"Fairbanks North Star, AK",1
2022,7,"Clark, WA",9
2018,12,"Bexar, TX",7
2018,4,"Manatee, FL",1
2023,7,"Washtenaw, MI",2
2023,5,"Williamson, TX",1
2021,5,"Flathead, MT",1
2018,7,"Lumpkin, GA",1
2021,8,"Stevens, WA",92
2018,6,"Clark, WA",0
2023,6,"Mason, WA",11
2019,12,"King, WA",7
2022,8,"Providence, RI",1
2017,7,"Hardin, KY",1
2021,11,"Charleston, SC",3
2021,11,"Santa Cruz, CA",1
2021,4,"Hawaii, HI",1
2020,6,"Hamilton, IN",1
2022,9,"Kootenai, ID",1
2021,5,"Sumter, FL",1
2020,10,"Dallas, IA",1
2018,4,"Lake, CA",1
2017,5,"DeKalb, IN",1
2020,10,"Yakima, WA",280
2019,10,"Spokane, WA",1079
2022,12,"Los Angeles, CA",10
2020,11,"Maricopa, AZ",14
2021,11,"Burlington, NJ",1
2022,10,"Solano, CA",2
2017,10,"Gwinnett, GA",1
2021,10,"Montgomery, PA",2
2017,2,"Madison, ID",1
2022,7,"Columbia, OR",1
2021,8,"Snohomish, WA",1
2017,9,"Lewis, WA",93
2023,6,"Garfield, WA",4
2019,7,"Walla Walla, WA",113
2020,8,"Skamania, WA",52
2018,5,"St. Clair, IL",1
2019,12,"Bexar, TX",5
2022,3,"Sarpy, NE",1
2022,9,"Allen, IN",1
2023,1,"Bryan, GA",1
2018,6,"Adams, WA",0
2019,1,"Clark, WA",0
2017,5,"Jefferson, WA",162
2023,4,"Kittitas, WA",8
2017,9,"Alameda, CA",1
2022,3,"Skagit, WA",1056
2022,6,"Escambia, FL",1
2020,9,"Walla Walla, WA",0
2019,5,"Cook, IL",1
2017,12,"Montgomery, PA",1
2021,1,"Columbia, OR",1
2020,7,"Asotin, WA",28
2017,11,"Columbia, WA",0
2020,9,"Garfield, WA",0
2017,1,"Pima, AZ",2
2020,6,"Williams, ND",1
2023,2,"Lee, AL",1
2021,9,"Meade, KY",1
2023,4,"Dorchester, SC",1
2022,5,"Leavenworth, KS",1
2022,10,"Fairfax, VA",10
2023,3,"Norfolk, VA",5
2017,9,"Portsmouth, VA",1
2022,12,"San Juan, WA",729
2023,3,"Prince William, VA",3
2022,11,"Portsmouth, VA",1
2022,1,"Spartanburg, SC",1
2022,12,"Anne Arundel, MD",6
2019,10,"Douglas, NE",1
2018,11,"Brevard, FL",1
2022,7,"Las Animas, CO",1
2022,11,"Okanogan, WA",2
2020,6,"Columbia, WA",0
2022,1,"Calvert, MD",2
2022,3,"Multnomah, OR",5
2021,6,"Marion, IA",1
2020,11,"Washoe, NV",1
2019,11,"Suffolk, MA",1
2021,7,"Carroll, NH",1
2023,4,"Middlesex, NJ",1
2021,12,"Island, WA",0
2019,4,"Kootenai, ID",2
2019,5,"Grant, WA",98
2022,8,"Berkeley, SC",1
2019,10,"Lee, FL",1
2021,7,"Larimer, CO",1
2019,2,"San Francisco, CA",3
2022,9,"Charleston, SC",4
2020,7,"Ulster, NY",1
2019,10,"Osceola, FL",1
2023,3,"Hamilton, OH",1
2021,6,"Randolph, NC",1
2021,10,"Snohomish, WA",8844
2022,10,"Jefferson, WA",690
2022,6,"Douglas, WA",0
2022,6,"Duval, FL",2
2023,10,"Lane, OR",2
2017,7,"Multnomah, OR",4
2018,8,"San Mateo, CA",2
2020,6,"Kitsap, WA",0
2021,4,"Suffolk, MA",2
2023,2,"Sumter, SC",1
2021,6,"Ulster, NY",1
2019,6,"Putnam, TN",1
2023,8,"Hamilton, OH",1
2022,1,"Randolph, NC",1
2023,4,"Lane, OR",2
2017,11,"Riverside, CA",3
2019,5,"Chelan, WA",0
2020,8,"Franklin, WA",0
2020,3,"Denver, CO",1
2023,5,"Yolo, CA",1
2023,4,"Fairbanks North Star, AK",1
2020,4,"Juneau, AK",2
2020,7,"Grays Harbor, WA",221
2017,4,"Multnomah, OR",3
2018,8,"Portsmouth, VA",1
2024,2,"Kitsap, WA",119
2018,12,"Grays Harbor, WA",0
2017,7,"San Juan, WA",0
2022,1,"Benton, WA",1105
2019,4,"Palm Beach, FL",2
2022,6,"San Luis Obispo, CA",1
2023,10,"Polk, OR",2
2023,2,"Maui, HI",1
2023,2,"Harford, MD",2
2019,10,"Clallam, WA",1
2017,11,"Thurston, WA",0
2020,12,"Charles, MD",2
